name,email,phone,address,city,state,zip_code,customer_type,tags,notes
A&A PUMP CO INC,breinhart@aapumpco.com,(210) 226-1191,"5747 Dietrich Rd, San Antonio, TX 78219",BEXAR,TX,,commercial,"competitor,imported",Competitor; Website: https://aapumpco.com/; Google Rating: 3.2; Focus in petroleum products
ABSOLUTE SEPTIC & UTILITIES INC,,(512) 392-7212,"128 Anderson Acres Lane, San Marcos, TX",CALDWELL,TX,,commercial,"competitor,imported",Competitor; Website: N/A; Pumping & Construction
ADVANCED AEROBIC SERVICES,Support@AA.Systems,(281) 431-0123,"8911 Bateman Blvd. Rosharon, TX 77583",GUADALUPE,TX,,commercial,"competitor,imported","Competitor; Website: https://advancedaerobic.systems/; Installation, maintenance, pumping"
AEROBIC SERVICES OF SOUTH TEXAS INC,,(830) 355-6121,"15188 FM306, Canyon Lake, TX 78133",COMAL,TX,,commercial,"competitor,imported",Competitor; Website: https://www.aerobicservices.com/; Google Rating: 4.9; All things septic
AEROBIC WASTEWATER COMPANY,,(512) 894-3471,"105 S Canyonwood Dr, Dripping Springs",HAYS,TX,,commercial,"competitor,imported",Competitor; Website: N/A
AEROBITECH INC,,(512) 667-4113,111 Rivas Rd San Marcos  TX 78666,HAYS,TX,,commercial,"competitor,imported",Competitor; Website: N/A
AGUA DULCE HOLDING LLC,,,"2900 Nacogdoches Rd San Antonio, TX",HAYS,TX,,commercial,"competitor,imported",Competitor; Water systems and softeners
ALAMO ENVIRONMENTAL INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ALL FUELS INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
AMERICAN AEROBIC MANAGEMENT SYSTEMS LLC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
ARIAS & ASSOCIATES INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ARKWOOD ENGINEERING INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ASPIRA LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
B&M SEPTIC SYSTEMS,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
BANESTER ENGINEERING CONSULTANTS LTD,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
BANESTER ENGINEERING INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
BENKE SEPTIC SYSTEMS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
BERRY CONSTRUCTION COMPANY,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
BHATE ENVIRONMENTAL ASSOCIATES INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
BONONCINI & GRUBB CONSTRUCTION LLC,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
C-STORE TECHNOLOGIES INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
CAPE,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
CB CENTRAL BUILDERS LTD,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
CCC GROUP INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
CENTEX HYDRO-FLO INC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
CENTRAL TEXAS AEROBICS INC,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
CENTRAL TEXAS PUMP INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
CERTIFIED SEPTIC INSPECTIONS LLC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
CITY OF SAN ANTONIO,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
CLIFTON LOW CONSTRUCTION,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
COMAL AEROBIC MANAGEMENT,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
COUNTRYSIDE CONSTRUCTION INC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
CUMMINGS AEROBIC SERVICE INC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
D A D SERVICES INC,,,,BLANCO,TX,,commercial,"competitor,imported",Competitor
D&H UNITED FUELING SOLUTIONS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
D&L EXCAVATING,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
D&T SERVICES,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
DANNY GUAJARDO CONSTRUCTION INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
DAVID JOHNSON SERVICES,,,,CALDWELL,TX,,commercial,"competitor,imported",Competitor
DENNIS MOORE TRUCKING CO,,,,BLANCO,TX,,commercial,"competitor,imported",Competitor
DIAMOND SHAMROCK,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
DL DAVIDSON CONTRACTORS INC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
DLR WATER COMPANY,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
DNA GEOSCIENCES INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
DOMINION ENVIRONMENTAL INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
DOUBLE A ENVIRONMENTAL SERVICES,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
DRASH CONSULTANTS LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
DRASH CONSULTING ENGINEERS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
EGC INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ENVIRO-TECH CONSULTANTS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ENVIROKING INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
EQUIP ENTERPRISES,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ERIC WOLFF & ASSOCIATES,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
EXCELL ENVIRONMENTAL INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
EXTRA ENVIRONMENTAL INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
FORBES ENVIRONMENTAL ENGINEERING & ASSOCIATES,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
FOREST NEVILL INSPECTIONS,,,,CALDWELL,TX,,commercial,"competitor,imported",Competitor
FOUR SIX PROPERTIES LTD,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
GATES CONSTRUCTION INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
GEO CONSUL,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
GEO STRATA ENVIRONMENTAL CONSULTANTS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
GRANDSIX INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
GRUENE CONSOLIDATED LLC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
GRUENE ENVIRONMENTAL CONSTRUCTION LP,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
GRUENE ENVIRONMENTAL SERVICES LLC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
HILL COUNTRY AEROBIC SYSTEMS INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
HILL COUNTRY SEPTIC SYSTEMS,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
HILL COUNTRY WASTEWATER SERVICES INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
HILLMAN ENVIRONMENTAL & CONSTRUCTION,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
HILLSTAR SERVICES LLC,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
HUFFMAN HYDROCARBON ENGINEERING LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
HYDROGEOLOGIC INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
INFORMATICS CORPORATION,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ION ENGINEERING INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
J B SEPTIC MAINTENANCE INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
J B WASTEWATER MAINTENANCE PROVIDERS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
JMA WASTEWATER SERVICES INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
KEI CONSULTANTS LTD,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
KROSCHEL PUMP & SUPPLY INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
LAWRENCE EXCAVATION INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
LEGEND ENTERPRISES INC,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
LEWIS W ECKENRODE,,,,BLANCO,TX,,commercial,"competitor,imported",Competitor
LP NANCE & ASSCOIATES LLC,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
M & M CONTRACTING LTD,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
MARKGRAF CONSTRUCTION INC,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
MEDINA CONSULTING COMPANY INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
MEL PUMP SERVICE,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
MIDTEX OIL LP,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
O & M MANAGEMENT SERVICES LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
OPERATIONAL TECHNOLOGIES CORPORATION,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
PAPE-DAWSON CONSULTING ENGINEERS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
PETROLEUM POWER EQUIPMENT LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
PETROLEUM SOLVENTS,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
PHOENIX UNLIMITEDINC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
PROFESSIONAL GENERAL MANAGEMENT SERVICES INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
PROFESSIONAL SERVICE INDUSTRIES INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
PUBLIC WATER SERVICES INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
PURE ENVIRONMENTAL SOLUTIONS LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
R D CONSTRUCTION,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
RABA KISTNER INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
RAWHIDE CONSTRUCTION SERVICE LLC,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
ROLLS MANAGEMENT COMPANY,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
ROX CONSTRUCTION,,,,BLANCO,TX,,commercial,"competitor,imported",Competitor
LEIDOS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
S&K SERVICES,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
SCI ENGINEERING INC,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
SIC CORPORATION,,,,GUADALUPE,TX,,commercial,"competitor,imported",Competitor
SOS ENVIRO SERVICES LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
SOTACKS DONE WELL SERVICE LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
STC ENVIRONMENTAL SERVICES INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
STC SEPTIC SYSTEMS & MORE,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
SUNGLO INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
SYNERGISTIC ENVIRONMENTAL SYSTEMS INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
TASMAN GEOSCIENCES INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
TEAM INTEGRATED ENGINEERING INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
TEHCO INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
TEXAS SEPTIC SERVICES,,,,CALDWELL,TX,,commercial,"competitor,imported",Competitor
TNA OPERATIONS & MANAGEMENT,,,,BLANCO,TX,,commercial,"competitor,imported",Competitor
TOTAL SEPTIC SOLUTIONS LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
TRINITY WATER TREATMENT LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
TTL INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
TUMCO CONSULTANTS INC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
UNITED WATER SERVICES SAN ANTONIO LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
UTILITY OMC LLC,,,,CALDWELL,TX,,commercial,"competitor,imported",Competitor
VAN DELDEN SERVICE COMPANY INCORPORATED,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
VERSAR INC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
WARREN CONSTRUCTION,,,,COMAL,TX,,commercial,"competitor,imported",Competitor
WATERFLEET LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
WITTMAN WATER WORKS LLC,,,,HAYS,TX,,commercial,"competitor,imported",Competitor
WRC WATER SYSTEMS LLC,,,,BEXAR,TX,,commercial,"competitor,imported",Competitor
